City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,ancud,-41.8697,-73.8203,9.34,72,92,0.94,CL,1697320529
123,blackwater,-23.5833,148.8833,22.61,100,1,3.93,AU,1697320529
124,dudinka,69.4058,86.1778,1.49,93,100,6.71,RU,1697320529
125,jamestown,42.097,-79.2353,7.8,94,100,5.14,US,1697320307
126,taber,49.8167,-112.1518,16.11,55,92,7.2,CA,1697320530
127,zyryanovsk,49.7386,84.2719,5.36,94,100,0.93,KZ,1697320530
128,selfoss,63.9331,-20.9971,0.02,91,100,1.57,IS,1697320530
129,najran,17.4924,44.1277,23.36,26,3,1.46,SA,1697320530
130,lompoc,34.6391,-120.4579,30.08,57,0,4.12,US,1697320531
131,al bardiyah,31.7561,25.0865,21.54,72,0,4.74,LY,1697320531
132,ghadamis,30.1337,9.5007,23.46,22,0,3.49,LY,1697320531
133,port sudan,19.6175,37.2164,28.18,68,0,5.76,SD,1697320531
134,yarmouth,41.7057,-70.2286,14.98,74,100,3.6,US,1697320328
135,al jawf,29.5,38.75,22.62,21,0,3.78,SA,1697320531
136,tisul',55.7611,88.3122,6.08,68,100,5.38,RU,1697320409
137,vershino-darasunskiy,52.35,115.5167,-3.66,63,2,1.72,RU,1697320532
138,bakchar,57.0186,82.0711,4.51,96,100,3.3,RU,1697320532
139,banff,51.1762,-115.5698,15.57,35,57,2.57,CA,1697320532
140,udachny,66.4167,112.4,-10.86,85,9,1.25,RU,1697320532
141,carnarvon,-24.8667,113.6333,24.56,34,0,5.78,AU,1697320533
142,pitimbu,-7.4706,-34.8086,26.33,64,100,5.47,BR,1697320533
143,muroto-misakicho,33.2833,134.15,20.13,73,18,4.96,JP,1697320533
144,anadyr,64.75,177.4833,1.28,86,100,4.0,RU,1697320533
145,caconda,-13.7333,15.0667,17.13,77,95,1.08,AO,1697320533
146,al khums,32.6486,14.2619,22.85,66,0,0.1,LY,1697320534
147,bayanhongor,46.7167,100.1167,1.24,50,58,0.94,MN,1697320534
148,atafu village,-8.5421,-172.5159,28.59,76,67,9.95,TK,1697320534
149,murudeshwara,14.0943,74.4845,25.87,87,39,0.37,IN,1697320534
150,afaahiti,-17.75,-149.2833,28.93,77,36,4.44,PF,1697320534
151,hawaiian paradise park,19.5933,-154.9731,28.73,78,0,4.63,US,1697320535
152,argo,37.6333,22.7333,17.66,64,1,1.03,GR,1697320535
153,sunnyside,46.3237,-120.0087,20.24,57,0,0.0,US,1697320535
154,vorgashor,67.5833,63.95,-1.3,86,100,3.87,RU,1697320256
155,guasdualito,7.2424,-70.7324,32.98,62,40,1.54,VE,1697320535
156,concepcion,-36.827,-73.0498,16.89,59,20,7.2,CL,1697320536
157,luanda,-8.8368,13.2343,24.0,88,20,1.54,AO,1697320422
158,nadi,-17.8,177.4167,28.0,69,75,2.06,FJ,1697320536
159,ternate,0.8,127.4,26.98,84,100,1.93,ID,1697320536
160,tidjikja,18.5564,-11.4271,30.98,15,1,4.78,MR,1697320536
161,tralee,52.2704,-9.7026,9.01,70,97,3.38,IE,1697320537
162,crane,31.3974,-102.3501,23.13,25,4,3.91,US,1697320537
163,sumbe,-11.2061,13.8437,23.61,88,99,2.29,AO,1697320537
164,vilyuchinsk,52.9306,158.4028,6.15,92,100,2.93,RU,1697320537
165,jieyang,23.5289,116.3642,21.96,84,90,1.29,CN,1697320537
166,santa ana,33.7456,-117.8678,33.26,48,0,3.6,US,1697320527
167,iskateley,67.6803,53.1512,-2.21,93,54,1.79,RU,1697320538
168,nampula,-15.1165,39.2666,24.97,78,0,6.26,MZ,1697320538
169,kingston,17.997,-76.7936,31.53,81,40,1.54,JM,1697320317
170,sungai raya,0.7,108.9,26.05,88,99,2.62,ID,1697320538
171,djibo,14.1022,-1.6306,33.27,16,46,3.54,BF,1697320538
172,whitehorse,60.7161,-135.0538,10.57,58,75,9.26,CA,1697320538
173,amahai,-3.3333,128.9167,26.17,86,83,1.75,ID,1697320539
174,hobyo,5.3505,48.5268,27.44,78,14,4.33,SO,1697320539
175,lazaro cardenas,17.9583,-102.2,29.15,77,55,3.92,MX,1697320539
176,monrovia,6.3005,-10.7969,25.87,89,100,2.45,LR,1697320463
177,nova sintra,14.8667,-24.7167,25.49,79,98,3.79,CV,1697320540
178,ilulissat,69.2167,-51.1,-2.99,93,100,1.54,GL,1697320540
179,sonoita,31.85,-112.8333,32.34,13,0,2.1,MX,1697320540
180,chibougamau,49.9168,-74.3659,8.79,81,75,6.17,CA,1697320540
181,nefta,33.8731,7.8777,26.14,25,0,2.99,TN,1697320541
182,lebu,-37.6167,-73.65,10.83,77,65,8.32,CL,1697320541
183,santa cruz de tenerife,28.4682,-16.2546,30.78,23,0,2.06,ES,1697320502
184,port lincoln,-34.7333,135.8667,14.3,68,100,5.77,AU,1697320541
185,prince rupert,54.3161,-130.3201,12.05,94,100,7.2,CA,1697320541
186,knyaze-volkonskoye,48.4642,135.4567,11.11,64,4,3.58,RU,1697320541
187,uribia,11.7139,-72.266,31.32,65,60,3.38,CO,1697320542
